"R_0%.spc - RawData"
"Wavelength nm.","R%"
400.00,21.563
401.00, 
402.00,21.396
403.00, 
404.00,21.229
405.00, 
406.00,21.097
407.00, 
408.00,20.950
409.00, 
410.00,20.785
411.00, 
412.00,20.647
413.00, 
414.00,20.534
415.00, 
416.00,20.464
417.00, 
418.00,20.347
419.00, 
420.00,20.247
421.00, 
422.00,20.165
423.00, 
424.00,20.123
425.00, 
426.00,20.074
427.00, 
428.00,20.009
429.00, 
430.00,19.945
431.00, 
432.00,19.914
433.00, 
434.00,19.908
435.00, 
436.00,19.934
437.00, 
438.00,19.973
439.00, 
440.00,20.041
441.00, 
442.00,20.107
443.00, 
444.00,20.167
445.00, 
446.00,20.228
447.00, 
448.00,20.324
449.00, 
450.00,20.395
451.00, 
452.00,20.458
453.00, 
454.00,20.521
455.00, 
456.00,20.597
457.00, 
458.00,20.692
459.00, 
460.00,20.763
461.00, 
462.00,20.848
463.00, 
464.00,20.937
465.00, 
466.00,21.028
467.00, 
468.00,21.120
469.00, 
470.00,21.186
471.00, 
472.00,21.257
473.00, 
474.00,21.322
475.00, 
476.00,21.390
477.00, 
478.00,21.422
479.00, 
480.00,21.457
481.00, 
482.00,21.483
483.00, 
484.00,21.521
485.00, 
486.00,21.511
487.00, 
488.00,21.512
489.00, 
490.00,21.509
491.00, 
492.00,21.525
493.00, 
494.00,21.500
495.00, 
496.00,21.501
497.00, 
498.00,21.487
499.00, 
500.00,21.484
501.00, 
502.00,21.445
503.00, 
504.00,21.416
505.00, 
506.00,21.349
507.00, 
508.00,21.275
509.00, 
510.00,21.156
511.00, 
512.00,21.037
513.00, 
514.00,20.896
515.00, 
516.00,20.753
517.00, 
518.00,20.594
519.00, 
520.00,20.424
521.00, 
522.00,20.247
523.00, 
524.00,20.081
525.00, 
526.00,19.881
527.00, 
528.00,19.695
529.00, 
530.00,19.483
531.00, 
532.00,19.291
533.00, 
534.00,19.089
535.00, 
536.00,18.899
537.00, 
538.00,18.721
539.00, 
540.00,18.543
541.00, 
542.00,18.402
543.00, 
544.00,18.261
545.00, 
546.00,18.137
547.00, 
548.00,17.997
549.00, 
550.00,17.906
551.00, 
552.00,17.849
553.00, 
554.00,17.843
555.00, 
556.00,17.817
557.00, 
558.00,17.823
559.00, 
560.00,17.854
561.00, 
562.00,17.930
563.00, 
564.00,18.021
565.00, 
566.00,18.118
567.00, 
568.00,18.235
569.00, 
570.00,18.395
571.00, 
572.00,18.583
573.00, 
574.00,18.807
575.00, 
576.00,19.062
577.00, 
578.00,19.345
579.00, 
580.00,19.649
581.00, 
582.00,19.923
583.00, 
584.00,20.213
585.00, 
586.00,20.528
587.00, 
588.00,20.851
589.00, 
590.00,21.156
591.00, 
592.00,21.454
593.00, 
594.00,21.776
595.00, 
596.00,22.093
597.00, 
598.00,22.399
599.00, 
600.00,22.679
601.00, 
602.00,22.946
603.00, 
604.00,23.223
605.00, 
606.00,23.477
607.00, 
608.00,23.741
609.00, 
610.00,23.945
611.00, 
612.00,24.152
613.00, 
614.00,24.335
615.00, 
616.00,24.491
617.00, 
618.00,24.641
619.00, 
620.00,24.762
621.00, 
622.00,24.870
623.00, 
624.00,24.938
625.00, 
626.00,24.998
627.00, 
628.00,25.031
629.00, 
630.00,25.050
631.00, 
632.00,25.016
633.00, 
634.00,24.988
635.00, 
636.00,24.939
637.00, 
638.00,24.882
639.00, 
640.00,24.767
641.00, 
642.00,24.613
643.00, 
644.00,24.474
645.00, 
646.00,24.319
647.00, 
648.00,24.184
649.00, 
650.00,23.993
651.00, 
652.00,23.792
653.00, 
654.00,23.547
655.00, 
656.00,23.329
657.00, 
658.00,23.088
659.00, 
660.00,22.866
661.00, 
662.00,22.620
663.00, 
664.00,22.396
665.00, 
666.00,22.114
667.00, 
668.00,21.806
669.00, 
670.00,21.531
671.00, 
672.00,21.235
673.00, 
674.00,20.972
675.00, 
676.00,20.660
677.00, 
678.00,20.381
679.00, 
680.00,20.051
681.00, 
682.00,19.744
683.00, 
684.00,19.446
685.00, 
686.00,19.174
687.00, 
688.00,18.904
689.00, 
690.00,18.630
691.00, 
692.00,18.397
693.00, 
694.00,18.120
695.00, 
696.00,17.882
697.00, 
698.00,17.672
699.00, 
700.00,17.536
