"T_0%_1.spc - RawData"
"Wavelength nm.","T%"
400.00,0.024
401.00, 
402.00,0.023
403.00, 
404.00,0.024
405.00, 
406.00,0.027
407.00, 
408.00,0.030
409.00, 
410.00,0.033
411.00, 
412.00,0.036
413.00, 
414.00,0.039
415.00, 
416.00,0.045
417.00, 
418.00,0.053
419.00, 
420.00,0.066
421.00, 
422.00,0.080
423.00, 
424.00,0.099
425.00, 
426.00,0.120
427.00, 
428.00,0.144
429.00, 
430.00,0.170
431.00, 
432.00,0.199
433.00, 
434.00,0.225
435.00, 
436.00,0.251
437.00, 
438.00,0.270
439.00, 
440.00,0.287
441.00, 
442.00,0.298
443.00, 
444.00,0.310
445.00, 
446.00,0.321
447.00, 
448.00,0.329
449.00, 
450.00,0.337
451.00, 
452.00,0.345
453.00, 
454.00,0.357
455.00, 
456.00,0.366
457.00, 
458.00,0.376
459.00, 
460.00,0.387
461.00, 
462.00,0.404
463.00, 
464.00,0.420
465.00, 
466.00,0.439
467.00, 
468.00,0.457
469.00, 
470.00,0.478
471.00, 
472.00,0.501
473.00, 
474.00,0.528
475.00, 
476.00,0.561
477.00, 
478.00,0.594
479.00, 
480.00,0.629
481.00, 
482.00,0.665
483.00, 
484.00,0.704
485.00, 
486.00,0.747
487.00, 
488.00,0.791
489.00, 
490.00,0.838
491.00, 
492.00,0.891
493.00, 
494.00,0.954
495.00, 
496.00,1.034
497.00, 
498.00,1.145
499.00, 
500.00,1.285
501.00, 
502.00,1.463
503.00, 
504.00,1.672
505.00, 
506.00,1.907
507.00, 
508.00,2.153
509.00, 
510.00,2.402
511.00, 
512.00,2.659
513.00, 
514.00,2.915
515.00, 
516.00,3.169
517.00, 
518.00,3.420
519.00, 
520.00,3.676
521.00, 
522.00,3.943
523.00, 
524.00,4.212
525.00, 
526.00,4.491
527.00, 
528.00,4.775
529.00, 
530.00,5.080
531.00, 
532.00,5.395
533.00, 
534.00,5.715
535.00, 
536.00,6.031
537.00, 
538.00,6.358
539.00, 
540.00,6.687
541.00, 
542.00,7.033
543.00, 
544.00,7.383
545.00, 
546.00,7.740
547.00, 
548.00,8.100
549.00, 
550.00,8.465
551.00, 
552.00,8.846
553.00, 
554.00,9.216
555.00, 
556.00,9.596
557.00, 
558.00,9.978
559.00, 
560.00,10.370
561.00, 
562.00,10.749
563.00, 
564.00,11.110
565.00, 
566.00,11.479
567.00, 
568.00,11.857
569.00, 
570.00,12.248
571.00, 
572.00,12.608
573.00, 
574.00,12.974
575.00, 
576.00,13.322
577.00, 
578.00,13.698
579.00, 
580.00,14.059
581.00, 
582.00,14.409
583.00, 
584.00,14.743
585.00, 
586.00,15.072
587.00, 
588.00,15.405
589.00, 
590.00,15.736
591.00, 
592.00,16.046
593.00, 
594.00,16.367
595.00, 
596.00,16.670
597.00, 
598.00,17.000
599.00, 
600.00,17.300
601.00, 
602.00,17.610
603.00, 
604.00,17.875
605.00, 
606.00,18.159
607.00, 
608.00,18.423
609.00, 
610.00,18.704
611.00, 
612.00,18.972
613.00, 
614.00,19.237
615.00, 
616.00,19.513
617.00, 
618.00,19.800
619.00, 
620.00,20.086
621.00, 
622.00,20.360
623.00, 
624.00,20.622
625.00, 
626.00,20.901
627.00, 
628.00,21.174
629.00, 
630.00,21.422
631.00, 
632.00,21.655
633.00, 
634.00,21.904
635.00, 
636.00,22.178
637.00, 
638.00,22.457
639.00, 
640.00,22.745
641.00, 
642.00,23.006
643.00, 
644.00,23.251
645.00, 
646.00,23.505
647.00, 
648.00,23.760
649.00, 
650.00,24.055
651.00, 
652.00,24.324
653.00, 
654.00,24.622
655.00, 
656.00,24.893
657.00, 
658.00,25.158
659.00, 
660.00,25.401
661.00, 
662.00,25.635
663.00, 
664.00,25.867
665.00, 
666.00,26.111
667.00, 
668.00,26.376
669.00, 
670.00,26.635
671.00, 
672.00,26.926
673.00, 
674.00,27.164
675.00, 
676.00,27.433
677.00, 
678.00,27.632
679.00, 
680.00,27.873
681.00, 
682.00,28.092
683.00, 
684.00,28.319
685.00, 
686.00,28.530
687.00, 
688.00,28.701
689.00, 
690.00,28.898
691.00, 
692.00,29.072
693.00, 
694.00,29.334
695.00, 
696.00,29.543
697.00, 
698.00,29.774
699.00, 
700.00,29.910
