"T_10%.spc - RawData"
"Wavelength nm.","T%"
400.00,1.411
401.00, 
402.00,1.214
403.00, 
404.00,1.065
405.00, 
406.00,0.984
407.00, 
408.00,0.963
409.00, 
410.00,1.002
411.00, 
412.00,1.111
413.00, 
414.00,1.292
415.00, 
416.00,1.572
417.00, 
418.00,1.986
419.00, 
420.00,2.550
421.00, 
422.00,3.285
423.00, 
424.00,4.198
425.00, 
426.00,5.341
427.00, 
428.00,6.694
429.00, 
430.00,8.249
431.00, 
432.00,9.951
433.00, 
434.00,11.726
435.00, 
436.00,13.406
437.00, 
438.00,14.874
439.00, 
440.00,16.059
441.00, 
442.00,16.994
443.00, 
444.00,17.686
445.00, 
446.00,18.175
447.00, 
448.00,18.512
449.00, 
450.00,18.767
451.00, 
452.00,18.999
453.00, 
454.00,19.217
455.00, 
456.00,19.419
457.00, 
458.00,19.612
459.00, 
460.00,19.799
461.00, 
462.00,20.015
463.00, 
464.00,20.252
465.00, 
466.00,20.514
467.00, 
468.00,20.784
469.00, 
470.00,21.049
471.00, 
472.00,21.342
473.00, 
474.00,21.627
475.00, 
476.00,21.908
477.00, 
478.00,22.168
479.00, 
480.00,22.429
481.00, 
482.00,22.659
483.00, 
484.00,22.884
485.00, 
486.00,23.092
487.00, 
488.00,23.327
489.00, 
490.00,23.534
491.00, 
492.00,23.745
493.00, 
494.00,23.923
495.00, 
496.00,24.101
497.00, 
498.00,24.267
499.00, 
500.00,24.441
501.00, 
502.00,24.595
503.00, 
504.00,24.750
505.00, 
506.00,24.909
507.00, 
508.00,25.089
509.00, 
510.00,25.246
511.00, 
512.00,25.426
513.00, 
514.00,25.610
515.00, 
516.00,25.818
517.00, 
518.00,26.030
519.00, 
520.00,26.256
521.00, 
522.00,26.505
523.00, 
524.00,26.768
525.00, 
526.00,27.056
527.00, 
528.00,27.374
529.00, 
530.00,27.713
531.00, 
532.00,28.061
533.00, 
534.00,28.399
535.00, 
536.00,28.733
537.00, 
538.00,29.076
539.00, 
540.00,29.446
541.00, 
542.00,29.814
543.00, 
544.00,30.175
545.00, 
546.00,30.531
547.00, 
548.00,30.877
549.00, 
550.00,31.244
551.00, 
552.00,31.598
553.00, 
554.00,31.981
555.00, 
556.00,32.332
557.00, 
558.00,32.719
559.00, 
560.00,33.076
561.00, 
562.00,33.453
563.00, 
564.00,33.788
565.00, 
566.00,34.139
567.00, 
568.00,34.488
569.00, 
570.00,34.852
571.00, 
572.00,35.218
573.00, 
574.00,35.605
575.00, 
576.00,35.969
577.00, 
578.00,36.346
579.00, 
580.00,36.710
581.00, 
582.00,37.056
583.00, 
584.00,37.412
585.00, 
586.00,37.757
587.00, 
588.00,38.133
589.00, 
590.00,38.494
591.00, 
592.00,38.853
593.00, 
594.00,39.206
595.00, 
596.00,39.539
597.00, 
598.00,39.879
599.00, 
600.00,40.201
601.00, 
602.00,40.533
603.00, 
604.00,40.843
605.00, 
606.00,41.167
607.00, 
608.00,41.485
609.00, 
610.00,41.794
611.00, 
612.00,42.111
613.00, 
614.00,42.408
615.00, 
616.00,42.719
617.00, 
618.00,42.993
619.00, 
620.00,43.270
621.00, 
622.00,43.547
623.00, 
624.00,43.812
625.00, 
626.00,44.098
627.00, 
628.00,44.359
629.00, 
630.00,44.610
631.00, 
632.00,44.813
633.00, 
634.00,45.063
635.00, 
636.00,45.291
637.00, 
638.00,45.542
639.00, 
640.00,45.760
641.00, 
642.00,46.016
643.00, 
644.00,46.215
645.00, 
646.00,46.429
647.00, 
648.00,46.616
649.00, 
650.00,46.871
651.00, 
652.00,47.095
653.00, 
654.00,47.334
655.00, 
656.00,47.515
657.00, 
658.00,47.674
659.00, 
660.00,47.835
661.00, 
662.00,48.003
663.00, 
664.00,48.168
665.00, 
666.00,48.335
667.00, 
668.00,48.541
669.00, 
670.00,48.749
671.00, 
672.00,48.976
673.00, 
674.00,49.097
675.00, 
676.00,49.326
677.00, 
678.00,49.440
679.00, 
680.00,49.650
681.00, 
682.00,49.773
683.00, 
684.00,49.972
685.00, 
686.00,50.154
687.00, 
688.00,50.286
689.00, 
690.00,50.409
691.00, 
692.00,50.552
693.00, 
694.00,50.790
695.00, 
696.00,51.016
697.00, 
698.00,51.184
699.00, 
700.00,51.271
